file name,entityType,college,year,sitting,question,content,passRate,EC_extraCredit,EC_expectedDomains,EC_errorsCommon,learningOutcomes,lo,resources,exam,file links,file path
AP10B13,SAQ,ANZCA,2010,B,13,Describe the cardiovascular changes in the neonate that occur at birth.,90,"Extra marks were awarded for more detailed descriptions of the foetal circulation at term and neonatal haemodynamics at birth, and the factors that modify them (such as the inhibition of ductus arteriosus closure by hypoxia and prostaglandins).","The cardiovascular changes that occur in the neonate at birth was well answered with most candidates providing an adequate account of the effects of the first few breaths and cessation of umbilical blood flow on the pulmonary and intracardiac circulations, along with the sequence and timing of these events.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.10.B.SAQ/AP10B13.md
AP14A06,SAQ,ANZCA,2014,A,6,Outline the pharmacological management of bronchoconstriction in acute severe asthma. Include mechanisms of action and potential adverse effects.,59,"Additional marks were awarded for discussing other agents such as ketamine, magnesium, volatile agents, leukotriene agonists for which less detailed discussions were acceptable. Brief descriptions of the physiological implications of acute asthma also attracted marks., Some additional marks were awarded for doses and routes of administration of the important agents.","The question asks candidates to outline aspects of the pharmacology of drugs used to treat asthma. Aspects to emphasize in the interpretation of this question include the drugs must be used for acute asthma, and their mechanism of action and potential adverse effects described in detail., To obtain a good score, candidates had to mention the most important agents in more detail. These included salbutamol, adrenaline, steroids, anticholinergics, aminophyline., Mechanisms of action for each of the important agents had to include receptor subtype interaction, intermediate messengers, effect on intracytoplasmic calcium and on myosin actin interaction in smooth muscle cells lining the bronchi., Side effects should also be mentioned in detail, with discussions regarding drugs such as steroids limited to acute side effects only.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.14.A.SAQ/AP14A06.md
AP14B01,SAQ,ANZCA,2014,B,1,Describe the vascular anatomy of the antecubital fossa (arterial and venous).,45,"Mention of the relation of the median nerve to the artery, the presence of lymph vessels and venous valves all attracted extra marks when correctly described., The use of a diagram to illustrate the anatomy would have been a good method of answering this question.",Marks were awarded for the naming and location of the main vessels within the antecubital fossa.,,,,,PEX,,SAQ/ANZCA SAQ/A.P.14.B.SAQ/AP14B01.md
AP14B03,SAQ,ANZCA,2014,B,3,Briefly outline the acute management of malignant hyperthermia (during a relaxant general anaesthetic). Describe the important aspects of dantrolene pharmacology relevant to treating malignant hyperthermia.,28,,"There were two parts of equal importance to this question., The main points expected for acute management of malignant hyperthermia included: calling for help, early administration of dantrolene with the correct dose, active cooling, cessation of trigger agents, strategies to avoid awareness and hyperventilation with 100%",,,,,PEX,,SAQ/ANZCA SAQ/A.P.14.B.SAQ/AP14B03.md
AP14B13,SAQ,ANZCA,2014,B,13,Briefly explain the changes that occur in stored whole blood.,60,"Better answers mentioned the actual direction of changes and the reasons or rationale to explain the changes such as anaerobic metabolism, lysis of cells and lack of substrates., High achieving answers occurred where the candidates were able to include the values or percent of changes (correctly), timing of deteriorations and less commonly mentioned facts or explanations such as Na-K-ATPase pump function for example., Organisation of answers into headings avoided needless repetition or omission of important facts.","A pass mark was easily achieved with inclusion of the main concepts of red blood cell changes, biochemical changes and clotting effects.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.14.B.SAQ/AP14B13.md
AP19A02,SAQ,ANZCA,2019,A,2,Describe the cardiovascular changes that occur with ageing.,63,"Good answers, attracting additional marks, included discussion of how these physiological changes affect cardiovascular function. Excellent answers included discussion of how these changes affect the capacity to compensate with physiological perturbations","To achieve a pass in this question, candidates were required to demonstrate a broad understanding of the effects of ageing on both the heart and the vascular system. An exhaustive list of factual information alone was insufficient to gain high marks. Candidates who omitted one of these systems entirely found it difficult to pass the question., To achieve a pass in this question, candidates were required to demonstrate a broad understanding of the effects of ageing on both the heart and the vascular system. An exhaustive list of factual information alone was insufficient to gain high marks. Candidates who omitted one of these systems entirely found it difficult to pass the question.",,,,,PEX,,SAQ/ANZCA SAQ/A.P.19.A.SAQ/AP19A02.md
CP08A01,SAQ,CICM,2008,A,1,Describe the pharmacological effects of paracetamol. Outline its toxicity and management.,66,"More marks were given for mention of a central COX 1 variant as the possible enzyme responsible for paracetamol’s central versus peripheral effects., Mention of monitoring (liver failure) and supportive therapy gained marks, but detailed explanations were not required","Actions and mechanism of actions of paracetamol. These include inhibition of cylooxygenase (COX) activity and prevention of prostaglandin (PG) production. Knowledge of the central sites of action was expected., Outline of toxicity. Candidates were expected to demonstrate knowledge of toxic doses, conditions enhancing toxicity (alcohol intake, chronic use etc), and the mechanism of hepatic toxicity and other organ toxicity (especially renal). A detailed list of clinical features of toxicity was not required., Management of toxicity. Mechanism of action of NAC was expected.",,,[[G2e2c]],"Stoelting 4th edition page 285, Rand Dale 5th page 244",PEX,[[G2e2c|G2e2c]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A01.md
CP08A02,SAQ,CICM,2008,A,2,Outline the differences between heparin and enoxaparin with respect to: • Phamacokinetics • Monitoring of effect • Adverse effects • Reversal of effect,33,"Better answers were in tabular format under each heading., Higher marks were awarded for mentioning of monitoring pitfalls such as heparin resistance, measuring Xa levels in a timely fashion, and the efficacy and pitfalls of protamine with each agent.",Candidates were expected to mention the differences between heparin and enoxaparin and to explain why these differences existed and their implications.,,,[[J2 2a]],"Stoelting 505-511, Katzung 546-548",PEX,[[J2 2a|J2 2a]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A02.md
CP08A03,SAQ,CICM,2008,A,3,Describe the principles of measurement of arterial haemoglobin oxygen saturation using a pulse oximeter. Outline the limitations of this technique.,0,Diagrams gained marks only with sufficient labelling and explanation.,"The main points expected for a pass included a brief description of the following: The system components; The principles of light absorbance and the Beer-Lambert Law; The differential absorbance of Hb species in red/infrared spectrum, and their use to calculate the amount of reduced and oxygenated Hb present; LED emitting 660/940/off cycles at 450-900Hz, averages data over several cycles to eliminate ambient light, and detect pulsatile and non pulsatile elements; Pulse added absorption of each cycle compared as ratio “R” at different wavelengths; Calibration curve to compare “R” to SaO2 data from healthy volunteers; The limitations of the technique including: quality of product, bias, precision and accuracy, insensitivity to PaO2, false readings and their causes",,,[[S2f]],,PEX,[[S2f|S2f]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A03.md
CP08A05,SAQ,CICM,2008,A,5,Outline the physiological factors that influence cerebral blood flow.,33,"The use of graphs, correctly labelled, and associated free text would be an effective means of portraying this information.","Description of the relationship of CO2; O2; MAP and Cerebral metabolism with cerebral blood flow., The effect of other factors such as intracranial pressure, cerebral venous pressure, vascular calibre, blood viscosity and regional blood flow differences.",,,[[C1f2c]],,PEX,[[C1f2c|C1f2c]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A05.md
CP08A09,SAQ,CICM,2008,A,9,Describe the physiological basis for the mechanism of action of three commonly used anticonvulsant groups. Give an example of a drug for each mechanism of action.,33,Other mechanisms of action with examples if described earned extra marks. These included glutamate /NMDA receptor inhibition. Example: magnesium.,"The three main anticonvulsant mechanisms required were: 1. Sodium channel blockers. These promote the inactive state of voltage activated Na channels. Sodium channels are unable to open for a period of time making the neuron more refractory to action potential generation. Rapid repetitive firing is diminished and spread of electrical activity to adjacent brain areas is suppressed. Examples: phenytoin, carbamazepine, lamotrgine, Na valproate 2. Drugs that enhance GABA mediated synaptic inhibition. This increases the influx of chloride ions into the cell and hyperpolarizes the neuron. 3 mechanisms: a. Act on GABA receptor. Example: benzodiazepines, barbiturates. b. Inhibit GABA transporter and reduce neuronal GABA reuptake. Example: tiagabine. c. Promote GABA release. Example: gabapentin. 3. Drugs that inhibit Calcium channels. Limit activation of voltage activated Ca channel known as the T current. Example.: Na valproate",,,[[G2f]],,PEX,[[G2f|G2f]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A09.md
CP08A13,SAQ,CICM,2008,A,13,Describe the relationship between creatinine clearance and serum creatinine concentrations. What are the potential pitfalls in using serum creatinine concentrations to assess renal function in a critically ill patient in ICU?,0,"Credit was given for clear definitions, formula and normal values (such as plasma clearance is the volume of plasma cleared per unit time)., Extra credit was given for appreciating the non linear relationship between changes in serum creatinine and creatinine clearance and that significant changes in glomerular filtration can occur before this is reflected in the serum creatinine., Comment on the problems of dilution with acute changes in fluid balance and that tubular secretion of creatinine can occur when the serum creatinine concentration is high both gained extra marks.","It was expected candidates would describe that both these are surrogate measures for Glomerular filtration rate., It was expected candidates could explain that serum creatinine results from a balance of creatinine produced and excreted and hence the slow response time and limitations for its use because of changes in both production and excretion.",,,[[D1 2]],Ganong 22nd edition 699-728,PEX,[[D1 2|D1 2]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A13.md
CP08A14,SAQ,CICM,2008,A,14,"Define the terms antiseptic and disinfectant. Briefly describe the advantages and disadvantages of alcohol, chlorhexidine, glutaraldehyde and povidone iodine.",0,"Marks were awarded for identifying Glutaraldehyde as a disinfectant (as opposed to the other antiseptic agents) and its use for cleaning equipment such as endoscopes with the precautions required for potential toxicity., Additional credit was given for discussion of relevant facts such as the proven benefit for chlorhexidine skin preparation for central venous line insertion.","It was expected candidates could define and distinguish between these terms with a specific comment that disinfectants are applied to inanimate objects and antiseptics can be applied to living tissue., It was expected answers would include a comment on each agent and specifically address areas such as general spectrum of activity, speed of onset ( agents that need to dry to be effective versus those with more rapid onset), duration of effect ( residual activity), limitations of use and potential hazards.",,,[[M2 2f]],"Katzung 10th edition 821-823, Stoelting 640-642",PEX,[[M2 2f|M2 2f]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A14.md
CP08A15,SAQ,CICM,2008,A,15,Compare and contrast the pharmacology of sodium nitroprusside and glyceryl trinitrate for the treatment of acute hypertension.,66,"These agents lend themselves to comparison and contrast as several distinct similarities and differences exist and credit was given for highlighting these., Extra credit was given for mentioning that routes other than IV are available for GTN (topical / oral) but not for nitroprusside., Comments on special precautions such as Nitroprusside should be protected from light and GTN given via non PVC giving sets gained additional marks., Extra marks were awarded for an indication of usual doses.","It was expected candidates would address specific aspects of pharmacology such as action, mechanism of action, half life and duration of effect, route of administration, potential toxicity and special precautions., Specific comments should include that both agents result in blood vessel dilation., For both agents the effect is mediated through nitric oxide and it was expected candidates would identify that nitroprusside releases NO spontaneously and GTN requires enzymatic degradation with the resultant effects on smooth muscle mediated via c GMP., They are both short acting agents when used intravenously and require careful titration to measured blood pressure for effect.",,,[[C2b 2e]],"Katzung 10th edition SNP 173-174 GTN 185-189, Stoelting 355-365",PEX,[[C2b 2e|C2b 2e]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A15.md
CP08A19,SAQ,CICM,2008,A,19,Outline normal impulse generation and conduction in the heart. Describe the features present in a normal heart that prevent generation and conduction of arrhythmias.,33,"Additional marks were awarded for mention of the atrial internodal pathways, conduction within the ventricles from the endocardial to epicardial surfaces and the significance of the compensatory pause in response to ectopic beats.","This question required description of the SA node, its primary role and generation of the pacemaker potential and the influence of the autonomic nervous system., A diagram of the conducting pathways, highlighting specialized tissues with fast or slow conduction velocities would have been appropriate., The importance of the AV node in preventing retrograde conduction and high rates conducted to the ventricles (>220 / min) was often neglected in answers., A discussion of the Purkinje Fibres with particular reference to the absolute and relative refractory periods was essential.",,,"[[C1b 2.a, b;]]","Cardiovascular Physiology, “Electrical Activity of the Heart” (Chapter 2), Berne and Levy.",PEX,"[[C1b 2.a, b;|C1b 2.a, b;]]",SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A19.md
CP08A21,SAQ,CICM,2008,A,21,Explain the ABO blood groups and how blood group is determined. How is blood tested for compatibility using the ABO system?,33,"Answers tabulating blood groups against expected antigens and antibodies present as well as agglutination reactions to anti-sera were most effective., Discussion of the saline agglutination test was essential and extra marks were awarded for mention of the Coombs test.","The main points candidates were expected to cover included a detailed discussion of the ABO antigens, the evolution of IgM antibodies to these antigens and the prevalence of blood groups in the general population., Candidates were required to demonstrate an understanding of cross-matching, specifically the testing of donor red blood cells against recipient serum.",,,[[J1 2.a]],"Review of Medical Physiology (Chapter 27), 22nd ed. Ganong, pp. 537-539.",PEX,[[J1 2.a|J1 2.a]],SAQ/CICM SAQ/C.P.08.A.SAQ/CP08A21.md
CP09A02,SAQ,CICM,2009,A,2,Describe the production of carbon dioxide in the body (60% of marks). What are the physiological reasons why the PaCO2 may be high? (40% of marks),10,"An example of increased CO2 production is fever, and of decreased alveolar ventilation is increased anatomical dead space.","The main points for a pass include a brief description of the citric acid cycle and a list of facts such as storage of CO2 (120L), production (200ml/min) and that 2 molecules of CO2 are produced for 1 molecule ATP., A statement that PaCO2 is proportional to CO2 production/alveolar ventilation would help answer the second part.",,,"[[B1h]], [[2e]]","Power and Kam 2nd edition p78-79,101, Stoelting and Hillier 4th edition p790-791, Nunn 6th edition p148-156",PEX,"[[B1h|B1h]], [[2e|2e]]",SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A02.md
CP09A03,SAQ,CICM,2009,A,3,"Outline the factors which affect the onset, duration of action and toxicity of local anaesthetic agents.",10,"Structure to the answer using a table and list of facts gained credit., Factors affecting duration such as protein binding, regional blood flow, metabolism and use of vasoconstrictors scored marks., Other factors included structure of agents, accumulation e.g. due to liver disease., A mention of features of particular agents’ toxicity such as prilocaine and methaemoglobinaemia was expected.","Marks were equally divided between all three parts., Factors affecting onset would be well described by stating Ficks law of diffusion and followed with an explanation of the equation., Regarding toxicity, an explanation of the CC/CNS ratio was required (the ratio of plasma levels at which CVSCollapse vs. Convulsions occur).",,,"[[G2b]], [[2a-c]]","Peck, Hill and Williams 2nd edition p163-174, Stoelting and Hillier 4th edition p179-203, Evers and Maze p507-533",PEX,"[[G2b|G2b]], [[2a-c|2a-c]]",SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A03.md
CP09A15,SAQ,CICM,2009,A,15,Outline the physiology of excitation and conduction in nerve axons (60% of marks). List the factors which delay axonal conduction (40% of the marks).,30,,"The following points were expected to be outlined in this question: 1. The resting membrane potential (RMP) and its physiological basis 2. How the RMP changes rapidly after a stimulus e.g. electrical or chemical and reaches a threshold potential and an all or none action potential results 3. The ionic basis of the action potential 4. How the action potential is propagated 5. Factors that delay axonal conduction such as fibre size, myelination and electrolyte abnormalities e.g. hypermagnesaemia.",,,[[G2a]],Power and Kam 1st edition p 6-9,PEX,[[G2a|G2a]],SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A15.md
CP09A16,SAQ,CICM,2009,A,16,Outline the role of platelets in blood clotting following an injury to a blood vessel.,40,Factors that interacted with platelet receptors e.g. platelet activating factor which increase aggregation and factors that inhibited platelet activation e.g. Prostaglandin I2 and nitric oxide gained marks.,"The main points expected in this answer were descriptions of platelet activation following exposure to collagen, platelet adhesion to the endothelium and ADP release and platelet aggregation secondary to activation of the GP11b/111a, COX-1 and other agents e.g. prostaglandin E2",,,[[J2c]],Power and Kam 1st edition p 247-249,PEX,[[J2c|J2c]],SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A16.md
CP09A17,SAQ,CICM,2009,A,17,Describe the physiological consequences of positive end expiratory pressure.,40,"Effects on intra-abdominal pressure, hepatic blood flow and the beneficial effects in cardiac failure earned marks.","Points required included a definition of PEEP, both intrinsic and extrinsic., The important physiological consequences that need to be discussed are respiratory including increased FRC, increased compliance and decreased work of breathing., Cardiovascular consequences include decreased venous return and subsequently decreased cardiac output and an increased pulmonary vascular resistance., Renal consequences include decreased renal blood flow and increased ADH",,,[[B1k.2a]],Nunn 6th edition p. 431,PEX,[[B1k.2a|B1k.2a]],SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A17.md
CP09A18,SAQ,CICM,2009,A,18,Describe the factors that affect airway resistance.,30,The differences in infants earned extra marks,"Important factors to be discussed in this answer were anatomical site, laminar versus turbulent flow, airway calibre and factors that affect it such as oedema and sympathetic tone., The effect of lung volume on airway resistance is usefully described in a diagram.",,,"[[B1d]], [[2h]]",Nunn 6th edition p39-47,PEX,"[[B1d|B1d]], [[2h|2h]]",SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A18.md
CP09A21,SAQ,CICM,2009,A,21,"Compare and contrast the mechanism of action and side effects of tricyclic antidepressants, selective serotonin reuptake inhibitors and monoamine oxidase inhibitors.",40,"Good answers were in tabular format., More marks were gained for mention that side effect profiles can be beneficial e.g. analgesic properties of TCAs, sedation with TCAs/ SSRIs and energizing benefits of SSRIs/SNRIs., SSRI’s safety and efficacy have markedly reduced the use of MAOIs and to a lesser extent TCA’s..","The antidepressant action is similar for each agent., Initial increase in 5HT and NA, followed in 2-3 weeks by a down regulation or change in efficiency of 5HT transmission., The agents produce elevated neurotransmitters via different mechanisms, either reuptake blockade or enzyme inhibition., MAOIs can be competitive or non-competitive., Mention of the different neurotransmitters affected by each agent was required., A description of significant side effects at therapeutic doses, and in overdose was expected with explanations provided., These should have included - the anticholinergic effects and cardiotoxicity of TCAs, postural hypotension, the catecholamine, pethidine and tyramine related complications of MAOIs, and serotonin syndrome with SSRI/MAOI use and or overdose.",,,[[G2f2d]],"Stoelting p 398-407, Katzung p 476-487",PEX,[[G2f2d|G2f2d]],SAQ/CICM SAQ/C.P.09.A.SAQ/CP09A21.md
CP13B01,SAQ,CICM,2013,B,1,Describe the pharmacology of suxamethonium.,59,This question was generally well answered.,"A structured approach that included headings such as pharmaceutics, mechanism of action, pharmacodynamics, kinetics, dose and side effects was associated with a good answer.",,,,,PEX,,SAQ/CICM SAQ/C.P.13.B.SAQ/CP13B01.md
CP13B02,SAQ,CICM,2013,B,2,Describe the various rapidly acting cardiac reflexes that influence cardiac function and the mechanisms by which they act.,22,Cardiac reflexes are fast-acting reflex loops between the heart and central nervous system that contribute to regulation of cardiac function and maintenance of physiologic homeostasis.,"It was expected candidates would include within their answer a mention of the stimulus and how it is sensed, the reflex arc and the resultant effect., Candidates could have mentioned the Baroreceptor Reflex/Carotid Sinus Reflex, Chemoreceptor, Bainbridge, Cushing, Oculocardiac and Bezold-Jarisch (involves response to ventricular stimuli, sensed by receptors within the LV wall that trigger vagal afferent type C fibers and the resultant triad of hypotension, bradycardia, and coronary artery dilatation) reflexes.",,,,,PEX,,SAQ/CICM SAQ/C.P.13.B.SAQ/CP13B02.md
CP13B24,SAQ,CICM,2013,B,24,Outline the physiological responses to anaemia. (The specific physiological responses to hypovolaemia are NOT required.),37,Better answers also included a mention of additional factors that enhance tolerance of chronic anaemia (e.g. angiogenesis).,It was expected candidates would expand on the central role haemoglobin has in oxygen delivery and that in the presence of reduced haemoglobin there are various efforts aimed at maintaining oxygen delivery.,,,,,PEX,,SAQ/CICM SAQ/C.P.13.B.SAQ/CP13B24.md
CP14A01,SAQ,CICM,2014,A,1,Outline the motor and sensory pathways involved in withdrawing the lower limb from a painful stimulus.,26,,It was expected that candidates would outline both motor and sensory pathways and mention a reflex arc and conscious pathways.,,,,,PEX,,SAQ/CICM SAQ/C.P.14.A.SAQ/CP14A01.md
CP14A14,SAQ,CICM,2014,A,14,"Using a diagram, explain the effect of PaO2, PaCO2 and MAP (Mean Arterial Pressure) on cerebral blood flow (CBF). (60 % of marks) Outline the effects of propofol and ketamine on CBF and cerebral metabolic requirement for oxygen (CMRO2). (40% of marks)",74,"This question was well answered., Well drawn graphs were a particularly effective means of scoring marks.",It is a structured question that guides candidates through exactly what is required.,,,,,PEX,,SAQ/CICM SAQ/C.P.14.A.SAQ/CP14A14.md
CP14A20,SAQ,CICM,2014,A,20,Describe the factors affecting drug absorption from the gastrointestinal tract.,45,,,,,,,PEX,,SAQ/CICM SAQ/C.P.14.A.SAQ/CP14A20.md
